vdot,e_km,e_mile,m_km,m_mile,t_400m,t_320m,t_km,t_penta,t_mile,i_320m,i_400m,i_km,i_1200m,i_penta,i_mile,r_160m,r_200m,r_300m,r_320m,r_400m,r_600m,r_640m,r_800m
30,7:27-8:14,12:00-13:16,7:03,11:21,153,119,6:24,10:14,10:18,111,142,-,-,,-,52,67,101,108,-,-,,-
31,7:16-8:02,11:41-12:57,6:52,11:02,150,117,6:14,9:58,10:02,108,138,-,-,,-,51,65,98,105,-,-,,-
32,7:05-7:52,11:24-12:39,6:40,10:44,146,114,6:05,9:43,9:47,105,134,,-,,-,49,63,95,101,-,-,,-
33,6:55-7:41,11:07-12:21,6:29,10:27,143,112,5:56,9:29,9:33,102,131,,-,,-,48,61,92,98,-,-,,-
34,6:45-7:31,10:52-12:05,6:20,10:11,139,108,5:48,9:16,9:20,100,128,-,-,,-,47,60,90,96,120,-,,-
35,6:36-7:21,10:37-11:49,6:10,9:56,136,106,5:40,9:03,9:07,98,125,-,-,,-,45,58,87,93,117,-,,-
36,6:27-7:11,10:23-11:34,6:01,9:41,133,104,5:33,8:51,8:55,95,122,-,-,,-,44,57,85,91,114,-,,-
37,6:19-7:02,10:09-11:20,5:53,9:28,130,101,5:26,8:40,8:44,93,119,5:00,-,,-,43,55,83,89,111,-,,-
38,6:11-6:54,9:56-11:06,5:45,9:15,127,99,5:19,8:30,8:33,90,116,4:54,-,,-,42,54,81,86,108,-,,-
39,6:03-6:46,9:44-10:53,5:37,9:02,125,98,5:12,8:19,8:22,89,114,4:48,-,,-,41,53,80,85,106,-,,-
40,5:56-6:38,9:32-10:41,5:29,8:50,122,95,5:06,8:09,8:12,87,112,4:42,-,,-,41,52,78,83,104,-,,-
41,5:49-6:31,9:21-10:28,5:22,8:39,120,94,5:00,7:59,8:02,86,110,4:36,-,,-,40,51,77,82,102,-,,-
42,5:42-6:23,9:10-10:17,5:16,8:28,117,91,4:54,7:49,7:52,84,108,4:31,-,,-,39,50,75,80,100,-,,-
43,5:35-6:16,9:00-10:05,5:09,8:17,115,90,4:49,7:39,7:42,83,106,4:26,-,,-,38,49,74,79,98,-,,-
44,5:29-6:10,8:50-9:55,5:03,8:07,113,88,4:43,7:30,7:33,81,104,4:21,-,,-,37,48,72,77,96,-,,-
45,5:23-6:03,8:40-9:44,4:57,7:58,111,87,4:38,7:22,7:25,80,102,4:16,-,,-,37,47,71,76,94,-,,-
46,5:17-5:57,8:31-9:34,4:51,7:49,109,85,4:33,7:14,7:17,78,100,4:12,5:00,,-,36,46,69,74,92,-,,-
47,5:12-5:51,8:22-9:25,4:46,7:40,107,83,4:29,7:06,7:09,76,98,4:07,4:54,,-,35,45,68,73,90,-,,-
48,5:07-5:45,8:13-9:15,4:41,7:32,105,82,4:24,6:59,7:02,75,96,4:03,4:49,,-,34,44,67,71,89,-,,-
49,5:01-5:40,8:05-9:06,4:36,7:24,103,80,4:20,6:53,6:56,74,95,3:59,4:45,,-,34,44,66,70,88,-,,-
50,4:56-5:34,7:57-8:58,4:31,7:17,101,79,4:15,6:47,6:50,73,93,3:55,4:40,,-,34,43,65,69,87,-,,-
51,4:52-5:29,7:49-8:49,4:27,7:09,100,78,4:11,6:41,6:44,72,92,3:51,4:36,,-,34,43,64,68,86,-,,-
52,4:47-5:24,7:42-8:41,4:22,7:02,98,76,4:07,6:35,6:38,71,91,3:48,4:32,,-,33,42,64,68,85,-,,-
53,4:43-5:19,7:35-8:33,4:18,6:56,97,76,4:04,6:29,6:32,70,90,3:44,4:29,,-,33,42,63,67,84,-,,-
54,4:38-5:14,7:28-8:26,4:14,6:49,95,74,4:00,6:23,6:26,69,88,3:41,4:25,,-,32,41,62,66,82,-,,-
55,4:34-5:10,7:21-8:18,4:10,6:43,94,73,3:56,6:17,6:20,68,87,3:37,4:21,,-,31,40,61,65,81,-,,-
56,4:30-5:05,7:15-8:11,4:06,6:37,93,73,3:53,6:12,6:15,67,86,3:34,4:18,,-,31,40,60,64,80,120,129,-
57,4:26-5:01,7:08-8:04,4:03,6:31,91,71,3:50,6:06,6:09,66,85,3:31,4:14,,-,30,39,59,63,79,117,125,-
58,4:22-4:57,7:02-7:58,3:59,6:25,90,70,3:46,6:02,6:04,65,83,3:28,4:10,,-,30,38,58,62,77,115,123,-
59,4:19-4:53,6:56-7:51,3:56,6:19,89,69,3:43,5:57,5:59,64,82,3:25,4:07,,-,30,38,57,61,76,114,122,-
60,4:15-4:49,6:50-7:45,3:52,6:14,88,69,3:40,5:52,5:54,63,81,3:23,4:03,,-,29,37,56,60,75,112,120,-
61,4:11-4:45,6:45-7:39,3:49,6:09,86,67,3:37,5:48,5:50,62,80,3:20,4:00,,-,29,37,55,59,74,111,119,-
62,4:08-4:41,6:39-7:33,3:46,6:04,85,66,3:34,5:43,5:45,62,79,3:17,3:57,,-,28,36,54,58,73,109,117,-
63,4:05-4:38,6:34-7:27,3:43,5:59,84,66,3:32,5:39,5:41,61,78,3:15,3:54,,-,28,36,53,57,72,108,116,-
64,4:02-4:34,6:29-7:21,3:40,5:54,83,65,3:29,5:34,5:36,60,77,3:12,3:51,,-,27,35,52,55,71,106,114,-
65,3:59-4:31,6:24-7:16,3:37,5:49,82,64,3:26,5:30,5:32,59,76,3:10,3:48,,-,27,35,52,55,70,105,113,-
66,3:56-4:28,6:19-7:10,3:34,5:45,81,63,3:24,5:26,5:28,59,75,3:08,3:45,5:00,4:58,27,34,51,54,69,103,110,-
67,3:53-4:24,6:15-7:05,3:31,5:40,80,62,3:21,5:22,5:24,58,74,3:05,3:42,4:57,4:55,27,34,51,54,68,102,109,-
68,3:50-4:21,6:10-7:00,3:29,5:36,79,62,3:19,5:18,5:20,57,73,3:03,3:39,4:53,4:51,26,33,50,53,67,100,107,-
69,3:47-4:18,6:06-6:55,3:26,5:32,78,61,3:16,5:14,5:16,56,72,3:01,3:36,4:50,4:48,26,33,49,52,66,99,106,-
70,3:44-4:15,6:01-6:50,3:24,5:28,77,60,3:14,5:11,5:13,55,71,2:59,3:34,4:46,4:44,25,32,48,51,65,97,104,-
71,3:42-4:12,5:57-6:46,3:21,5:24,76,59,3:12,5:07,5:09,55,70,2:57,3:31,4:43,4:41,25,32,48,51,64,96,103,-
72,3:40-4:10,5:53-6:41,3:19,5:20,76,59,3:10,5:03,5:05,54,69,2:55,3:29,4:40,4:38,24,31,47,50,63,94,101,-
73,3:37-4:07,5:49-6:37,3:16,5:16,75,59,3:08,5:00,5:02,54,69,2:53,3:27,4:37,4:35,24,31,47,50,63,93,100,-
74,3:34-4:04,5:45-6:32,3:14,5:12,74,58,3:06,4:57,4:59,53,68,2:51,3:25,4:34,4:32,24,31,46,49,62,92,99,-
75,3:32-4:01,5:41-6:28,3:12,5:09,74,58,3:04,4:54,4:56,52,67,2:49,3:22,4:31,4:29,23,30,46,49,61,91,98,-
76,3:30-3:58,5:38-6:24,3:10,5:05,73,57,3:02,4:50,4:52,51,66,2:48,3:20,4:28,4:26,23,30,45,48,60,90,96,-
77,3:28-3:56,5:34-6:20,3:08,5:02,72,56,3:00,4:47,4:49,51,65,2:46,3:18,4:25,4:23,23,29,45,48,59,89,95,2:00
78,3:25-3:53,5:30-6:16,3:06,4:58,71,55,2:58,4:44,4:46,51,65,2:44,3:16,4:23,4:21,23,29,44,47,59,88,94,1:59
79,3:23-3:51,5:27-6:12,3:03,4:55,70,55,2:56,4:41,4:43,50,64,2:42,3:14,4:20,4:18,23,29,44,47,58,87,93,1:58
80,3:21-3:49,5:24-6:08,3:01,4:52,70,55,2:54,4:39,4:41,50,64,2:41,3:12,4:17,4:15,23,29,43,46,58,87,93,1:56
81,3:19-3:46,5:20-6:04,2:59,4:49,69,54,2:53,4:36,4:38,49,63,2:39,3:10,4:15,4:13,22,28,43,46,57,86,92,1:55
82,3:17-3:44,5:17-6:01,2:58,4:46,68,53,2:51,4:33,4:35,48,62,2:38,3:08,4:12,4:10,22,28,42,45,56,85,91,1:54
83,3:15-3:42,5:14-5:57,2:56,4:43,68,53,2:49,4:30,4:32,48,62,2:36,3:07,4:10,4:08,22,28,42,45,56,84,90,1:53
84,3:13-3:40,5:11-5:54,2:54,4:40,67,52,2:48,4:28,4:30,48,61,2:35,3:05,4:08,4:06,21,27,41,44,55,83,89,1:52
85,3:11-3:38,5:08-5:50,2:52,4:37,66,51,2:46,4:25,4:27,48,61,2:33,3:03,4:05,4:03,21,27,41,44,55,82,88,1:51
